House Title,House Subtitle,Contractor,Address,Phone Number,Amount,Bedrooms,Bathrooms,Toilets,Parking Space,Link
Executive Mansion 6 Bedroom Detached Bungalow With Gatehouse,6 bedroom detached bungalow for sale,Scalozie Global Services,"Alode, Eleme, Rivers",08030894616,"₦28,000,000",6,6,7,,https:/for-sale/houses/detached-bungalows/rivers/eleme/1175557-executive-mansion-6-bedroom-detached-bungalow-with-gatehouse
Luxury 3 Bedroom Terrace Duplex With Steady Light & Security,3 bedroom terraced duplex for sale,Scalozie Global Services,"Naf Harmony Estate Off G U Akeh Road Air Force Eliozu Link Road, Port Harcourt, Rivers",08030894616,"₦75,000,000",3,4,,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1027261-luxury-3-bedroom-terrace-duplex-with-steady-light-security
4 Bedroom Duplex,4 bedroom detached duplex for sale,Mentom Global Services Limited,"Gra Phase 2 Port Harcourt, Port Harcourt, Rivers",07034438300,"₦120,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1625336-4-bedroom-duplex
2 Unit Of Flats On 581sqm Land In A Quiet Location,5 bedroom block of flats for sale,Aito Properties Ltd,"Clitter Avenue, Rumuokoro, Port Harcourt, Rivers",09060587316,"₦24,000,000",5,5,7,8,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuokoro/1366718-2-unit-of-flats-on-581sqm-land-in-a-quiet-location
5 Bedroom Duplex In A Good Neighborhood,5 bedroom detached duplex for sale,Aito Properties Ltd,"Ozuoba, Port Harcourt, Rivers",09060587316,"₦28,000,000",5,5,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/ozuoba/1447954-5-bedroom-duplex-in-a-good-neighborhood
Standard Uncompleted 4 Bedroom Duplex In A Luxury Estate,4 bedroom detached duplex for sale,Aito Properties Ltd,"Shell Cooperative Estate, Eneka, Port Harcourt, Rivers",09060587316,"₦55,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eneka/1591717-standard-uncompleted-4-bedroom-duplex-in-a-luxury-estate
"Brand New, Modern, 4 Bedroom Duplex In A Well Planned Estate",4 bedroom detached duplex for sale,Aito Properties Ltd,"Reserve Golf Estate, Peter Odili Road, Port Harcourt, Rivers",09060587316,"₦90,000,000",4,4,5,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1595843-brand-new-modern-4-bedroom-duplex-in-a-well-planned-estate
Magnificiently Built And Spacious 12 Units Of 2 Bedroom Block Of Flat,2 bedroom block of flats for sale,Bluehedge Realtors,"Ozuoba, Port Harcourt, Rivers",+2348177766119,"₦150,000,000",2,2,3,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/ozuoba/1616024-magnificiently-built-and-spacious-12-units-of-2-bedroom-block-of-flat
Brand New And Luxuriously Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Life Hedge Resources,"Off Nta Road, Rumueprikom, Port Harcourt, Rivers",08057258957,"₦85,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumueprikom/1593822-brand-new-and-luxuriously-finished-4-bedroom-detached-duplex
Luxuriously Finished 4 Bedrooms Terrace House,4 bedroom terraced duplex for sale,Life Hedge Resources,"Reef Court Estate Off Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08057258957,"₦85,000,000",4,4,5,4,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1591318-luxuriously-finished-4-bedrooms-terrace-house
Uncompleted 4 Bedroom Bungalow In A Quiet Neighborhood,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Aker Road, Rumueprikom, Port Harcourt, Rivers",09060587316,"₦14,000,000",4,4,5,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumueprikom/1588756-uncompleted-4-bedroom-bungalow-in-a-quiet-neighborhood
3 Bedroom Bungalow + 1 Bedroom Apartment +3 Shops,4 bedroom block of flats for sale,Aito Properties Ltd,"Eneka Road, Rukpokwu, Port Harcourt, Rivers",09060587316,"₦35,000,000",4,4,6,10,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rukpokwu/1466008-3-bedroom-bungalow-1-bedroom-apartment-3-shops
Newly Built 6 Bedrooms Duplex With Penthouse,6 bedroom detached duplex for sale,Aito Properties Ltd,"Rukpokwu, Port Harcourt, Rivers",09060587316,"₦75,000,000",6,6,6,15,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rukpokwu/1488587-newly-built-6-bedrooms-duplex-with-penthouse
"Vacant Land, Multiple Block Of Flats & 3 Shops",Block of flats for sale,Aito Properties Ltd,"Mercy Land, East West Road, Rumuigbo, Port Harcourt, Rivers",09060587316,"₦50,000,000",930,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuigbo/1549718-vacant-land-multiple-block-of-flats-3-shops
Brand New And Well Located Block Of Flats,2 bedroom block of flats for sale,Bluehedge Realtors,"Eeast West Road / Ameachi Sch Road, Port Harcourt, Rivers",+2348177766119,"₦50,000,000",2,2,3,8,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1372051-brand-new-and-well-located-block-of-flats
A Detached Four (4) Bedroom House With Cofo,4 bedroom detached duplex for sale,Obum Okoli & Partners,"At Freedom Estate Off Sars Road, Port Harcourt, Rivers",08061675102,"₦37,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1567811-a-detached-four-4-bedroom-house-with-cofo
Contemporary 6 Bedroom Duplex In A Secured Estate,6 bedroom detached duplex for sale,Aito Properties Ltd,"Sars Road, Rumuahalu, Port Harcourt, Rivers",09060587316,"₦43,000,000",6,6,7,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuahalu/1558864-contemporary-6-bedroom-duplex-in-a-secured-estate
2 Nos. 3 Bedroom Flat & 2 Nos. Self Contained Gate House (up & Down),Block of flats for sale,Movi Cab Integrated Concepts,"Airport Road, Port Harcourt, Rivers",08083478200,"₦70,000,000",,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1522352-2-nos-3-bedroom-flat-2-nos-self-contained-gate-house-up-down
Exclusive Brand New Well Finished 4 Bedroom Fully Detached Duplex,4 bedroom detached duplex for sale,Mentom Global Services Limited,"Reserve Estate, Off Peter Odili Road, Port Harcourt, Rivers",07034438300,"₦90,000,000",4,4,5,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1529623-exclusive-brand-new-well-finished-4-bedroom-fully-detached-duplex
Magnificient And Tastefully Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Gbalajam Phase 1, Port Harcourt, Rivers",+2348177766119,"₦100,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1505278-magnificient-and-tastefully-finished-4-bedroom-detached-duplex
Exquisitely Finished 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Rumuibekwe Housing Estate, Port Harcourt, Rivers",+2348177766119,"₦80,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1306364-exquisitely-finished-5-bedroom-detached-duplex
A Block Of Nine (9) Flats On Two Plots Of Land,21 bedroom block of flats for sale,Obum Okoli & Partners,"New Layout Opposite Naf Harmony Estate, Rukpakulusi, Port Harcourt, Rivers",08061675102,"₦190,000,000",21,21,30,15,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rukpakulusi/1498501-a-block-of-nine-9-flats-on-two-plots-of-land
4 Bedroom Serviced Duplex With A Bq,4 bedroom semi-detached duplex for sale,Scalozie Global Services,"Naf Harmony Estate Off Air Force/eliozu Road, Eliozu, Port Harcourt, Rivers",08030894616,"₦80,000,000",4,4,5,,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/eliozu/1003972-4-bedroom-serviced-duplex-with-a-bq
Luxurious And Tastefully Finished 4 Units Of 2 Bedroom Block Of Flat,2 bedroom block of flats for sale,Bluehedge Realtors,"Radio Estate, Off Nta Road, Port Harcourt, Rivers",+2348177766119,"₦100,000,000",2,2,3,8,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1413539-luxurious-and-tastefully-finished-4-units-of-2-bedroom-block-of-flat
Brand New And Luxuriously Finished 4 Bedrooms Detached House With Bq,4 bedroom detached duplex for sale,Life Hedge Resources,"Golf Estate, Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08057258957,"₦150,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1440835-brand-new-and-luxuriously-finished-4-bedrooms-detached-house-with-bq
Tastefully Built 5 Bedroom Bungalow In A Serene Environment,5 bedroom detached bungalow for sale,Aito Properties Ltd,"Aker Road / Iwofe Road, Rumueprikom, Port Harcourt, Rivers",09060587316,"₦45,000,000",5,5,6,10,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumueprikom/1400111-tastefully-built-5-bedroom-bungalow-in-a-serene-environment
Magnificently Built 5 Bedrooms Detached Duplex With C Of O,5 bedroom detached duplex for sale,Life Hedge Resources,"Off Alcon Road, Woji, Port Harcourt, Rivers",08057258957,"₦90,000,000",5,5,6,7,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/woji/1428740-magnificently-built-5-bedrooms-detached-duplex-with-c-of-o
Well Built 4 Bedroom Bungalow,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Ozuoba, Port Harcourt, Rivers",09060587316,"₦18,000,000",4,4,5,3,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/ozuoba/1411491-well-built-4-bedroom-bungalow
4 Bedroom Duplex With Self Contain Well Spacious,4 bedroom detached bungalow for sale,Mentom Global Services Limited,"Woji, Port Harcourt, Rivers",07034438300,"₦70,000,000",4,4,6,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/woji/1399721-4-bedroom-duplex-with-self-contain-well-spacious
Luxury Exquisite 5 Bedrooms Duplex,5 bedroom detached duplex for sale,Odinga E Property Ltd,"Peter Odili Road, Royal Palm Estate, Port Harcourt, Rivers",08032662547,"₦200,000,000",5,6,6,13,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1375115-luxury-exquisite-5-bedrooms-duplex
Brand New And Luxuriously Finished 5 Bedrooms Detached Duplex With Bq,5 bedroom detached duplex for sale,Life Hedge Resources,"Reef Court Estate Off Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08057258957,"₦150,000,000",5,6,7,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1386070-brand-new-and-luxuriously-finished-5-bedrooms-detached-duplex-with-bq
Luxurious And Tastefully Finished 3 Bedroom Terraced Duplex,3 bedroom terraced duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦60,000,000",3,3,4,2,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1299572-luxurious-and-tastefully-finished-3-bedroom-terraced-duplex
Distress Luxurious Fully Furnished 5 Bedroom Duplex With Penthouse,5 bedroom detached duplex for sale,Odinga E Property Ltd,"Centenary Gardens Estate Eneka, Port Harcourt, Rivers",08032662547,"₦110,000,000",5,6,6,7,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1366211-distress-luxurious-fully-furnished-5-bedroom-duplex-with-penthouse
Magnificient And Durably Built 4 Bedroom Detached Duplex (carcass),4 bedroom detached duplex for sale,Bluehedge Realtors,"Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",+2348177766119,"₦145,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1210769-magnificient-and-durably-built-4-bedroom-detached-duplex-carcass
Luxury 5 Bedroom Duplex With Service Quarters,5 bedroom detached duplex for sale,Aito Properties Ltd,"GRA Phase 3, Port Harcourt, Rivers",09060587316,"₦145,000,000",5,7,10,706,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/gra-phase-3/1364926-luxury-5-bedroom-duplex-with-service-quarters
Luxurious And Tastefully Finished 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Off Chinda/ Adageorge, Port Harcourt, Rivers",+2348177766119,"₦85,000,000",5,5,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1260439-luxurious-and-tastefully-finished-5-bedroom-detached-duplex
Executively Built 5 Bedroom Detached House With Swimming Pool And Bq,5 bedroom detached duplex for sale,Life Hedge Resources,"Somitel Estate, Trans Amadi, Port Harcourt, Rivers",08057258957,"₦180,000,000",5,5,6,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1278876-executively-built-5-bedroom-detached-house-with-swimming-pool-and-bq
Magnificently Finished 5 Bedroom Detached Duplex With Swimming Pool,5 bedroom detached duplex for sale,Life Hedge Resources,"Gra Phase 8, Rukpakwurusi New Layout, Rukpakulusi, Port Harcourt, Rivers",08057258957,"₦180,000,000",5,5,6,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rukpakulusi/1227517-magnificently-finished-5-bedroom-detached-duplex-with-swimming-pool
6 Units Of Standard 2 Bedroom Flat,2 bedroom block of flats for sale,Odinga E Property Ltd,"Iwofe Road / Adageorge, Port Harcourt, Rivers",08032662547,"₦150,000,000",2,3,3,30,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1201049-6-units-of-standard-2-bedroom-flat
Residential Apartments,3 bedroom detached bungalow for sale,Universal Prosperity Titles And Services Ltd,"Station Road, Elelenwo, Port Harcourt, Rivers",08056112401,"₦42,000,000",3,,,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/elelenwo/1024374-residential-apartments
Luxury Built 8 Bedroom Duplex,8 bedroom detached duplex for sale,Mentom Global Services Limited,"Off Stadium Road By Aztech Port Harcourt, Port Harcourt, Rivers",07034438300,"₦120,000,000",8,10,10,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1795984-luxury-built-8-bedroom-duplex
5bedroom And 3bedroom Fully Detected Duplexes,8 bedroom detached duplex for sale,Donhilz Global Service,"Peter Odili Road, Port Harcourt, Rivers",+2347064818968,"₦250,000,000",8,9,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1794556-5bedroom-and-3bedroom-fully-detected-duplexes
Luxury 5 Bedroom Fully Detached Duplex,5 bedroom detached duplex for sale,Donhilz Global Service,"Peter Odili Road, Port Harcourt, Rivers",+2347064818968,"₦250,000,000",5,6,4,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1794548-luxury-5-bedroom-fully-detached-duplex
6 Bedroom Fully Detached Duplex,6 bedroom detached duplex for sale,Donhilz Global Service,"Peter Odili Road, Port Harcourt, Rivers",+2347064818968,"₦170,000,000",6,7,4,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1794537-6-bedroom-fully-detached-duplex
5 Bedroom Fully Detached Duplex,5 bedroom detached duplex for sale,Donhilz Global Service,"Peter Odili Road, Port Harcourt, Rivers",+2347064818968,"₦160,000,000",5,6,4,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1794526-5-bedroom-fully-detached-duplex
Luxury 4 Bedroom Duplex,4 bedroom detached duplex for sale,Chyglosco Homes,"Eliozu, Port Harcourt, Rivers",09025567055,"₦100,000,000",4,,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1792095-luxury-4-bedroom-duplex
Tastefully Built 4 Bedroom Duplex,4 bedroom detached duplex for sale,Mentom Global Services Limited,"Golf Estate Off Peter Odili Road, Port Harcourt, Rivers",07034438300,"₦250,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1791173-tastefully-built-4-bedroom-duplex
Blocks Of Flat In A Developed Area,4 bedroom block of flats for sale,Chyglosco Homes,"Nwanwa, Eligbolo, Eliozu, Port Harcourt, Rivers",09025567055,"₦40,000,000",4,930,930,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/eliozu/1790203-blocks-of-flat-in-a-developed-area
Luxury 4 Bedroom Fully Detached Duplex,4 bedroom detached duplex for sale,Donhilz Global Service,"Odili Road, Port Harcourt, Rivers",+2347064818968,"₦250,000,000",4,5,4,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1785590-luxury-4-bedroom-fully-detached-duplex
80% Completed 5 Bedroom Detached Duplex In An Estate,5 bedroom detached duplex for sale,Alnorac,"Close To Obiri Ikwerre Flyover, Port Harcourt, Rivers",+2348136454243,"₦50,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1783010-80-completed-5-bedroom-detached-duplex-in-an-estate
Danville 3 Bedroom Apartment,3 bedroom block of flats for sale,Chyglosco Homes,"Tombia Extension, Gra, Port Harcourt, Rivers",09025567055,"₦40,000,000",3,3,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1782964-danville-3-bedroom-apartment
Luxury 5 Bedrooms Detached Duplex,5 bedroom detached duplex for sale,Chyglosco Homes,"Rukpokwu, Port Harcourt, Rivers",09025567055,"₦70,000,000",5,5,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1781889-luxury-5-bedrooms-detached-duplex
4 Bedrooms Duplex Available,4 bedroom detached duplex for sale,Kristas Properties,"Nta Road, Port Harcourt, Rivers",08163515552,"₦85,000,000",4,5,5,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1781856-4-bedrooms-duplex-available
Luxury 3 Bedroom Duplex With Bq,3 bedroom detached duplex for sale,Chyglosco Homes,"Eliozu Farm Road 2, Port Harcourt, Rivers",09025567055,"₦65,000,000",3,3,465,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1781773-luxury-3-bedroom-duplex-with-bq
Luxury 4 Bedroom Detached Duplex In A Cozy Area,4 bedroom detached duplex for sale,Chyglosco Homes,"Kemka Street, Off Location Junction, By Nta Road, Port Harcourt, Rivers",09025567055,"₦85,000,000",4,4,465,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1781725-luxury-4-bedroom-detached-duplex-in-a-cozy-area
4 Bedroom Duplex With Excellent Facilities,4 bedroom terraced duplex for sale,Obomese Global Properties,"Ilom, Woji, Port Harcourt, Rivers",07060682678,"₦85,000,000",4,5,5,5,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/woji/1774363-4-bedroom-duplex-with-excellent-facilities
Luxury Homes In A Serene Area,4 bedroom detached duplex for sale,Chyglosco Homes,"Gold Spring Estate, Port Harcourt, Rivers",09025567055,"₦80,000,000",4,,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1662505-luxury-homes-in-a-serene-area
Exotic And Tastefully Finished 4 Bedroom Terraced Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦68,000,000",4,4,5,4,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1754449-exotic-and-tastefully-finished-4-bedroom-terraced-duplex
Well Located And Spacious 4 Bedroom Bungalow With 4rooms Bq,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Adageorge/ Capinters Church, Port Harcourt, Rivers",+2348177766119,"₦65,000,000",4,4,5,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1750701-well-located-and-spacious-4-bedroom-bungalow-with-4rooms-bq
Standard 4 Bedroom Bungalow,4 bedroom house for sale,Mentom Global Services Limited,"Ada George, Port Harcourt, Rivers",07034438300,"₦45,000,000",4,4,5,465,https:/for-sale/houses/rivers/port-harcourt/1750281-standard-4-bedroom-bungalow
